Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
215,CJ Spiller,NO,5,35,RB,RB61,null,null,null,null,null,200
216,Jaelen Strong,HOU,9,30,WR,WR87,null,null,null,null,null,201
217,Benjamin Cunningham,LAR,8,32,RB,RB62,null,null,null,null,null,202
218,Braxton Miller,HOU,9,30,WR,WR88,null,null,null,null,null,203
219,Marqise Lee,JAX,5,31,WR,WR89,null,null,null,null,null,204
220,Tim Hightower,NO,5,36,RB,RB63,null,null,null,null,null,205
221,Steve Johnson,LAC,11,36,WR,WR90,null,null,null,null,null,206
222,Danny Amendola,NE,9,37,WR,WR91,null,null,null,null,null,207
223,Jarius Wright,MIN,6,33,WR,WR92,null,null,null,null,null,208
224,Alex Smith,KC,5,38,QB,QB25,null,null,null,null,null,209
225,Malcolm Mitchell,NE,9,30,WR,WR93,null,null,null,null,null,210
226,Albert Wilson,KC,5,30,WR,WR94,859,859,859,859,859,211
227,Kenneth Dixon,BAL,8,29,RB,RB64,null,null,null,null,null,212
228,Joe Flacco,BAL,8,38,QB,QB26,456,456,456,456,456,213
229,Karlos Williams,BUF,10,29,RB,RB65,null,null,null,null,null,214
230,Andre Ellington,ARI,9,34,RB,RB66,null,null,null,null,null,215
231,Jordan Howard,CHI,9,28,RB,RB67,null,null,null,null,null,216
232,Jay Cutler,CHI,9,39,QB,QB27,null,null,null,null,null,217
233,Cameron Artis-Payne,CAR,7,30,RB,RB68,null,null,null,null,null,218
234,Darren McFadden,DAL,7,35,RB,RB69,null,null,null,null,null,219
235,Pharoh Cooper,LAR,8,28,WR,WR95,717,717,717,717,717,220
236,James Jones,LAC,11,38,WR,WR96,null,null,null,null,null,221
237,Andrew Hawkins,CLE,13,37,WR,WR97,null,null,null,null,null,223
238,Ka'Deem Carey,CHI,9,30,RB,RB70,null,null,null,null,null,224
239,Brandon Coleman,NO,5,30,WR,WR98,null,null,null,null,null,225
240,J.J. Nelson,ARI,9,30,WR,WR99,null,null,null,null,null,226
241,Dexter McCluster,TEN,13,34,RB,RB71,null,null,null,null,null,227
242,Quincy Enunwa,NYJ,11,30,WR,WR100,null,null,null,null,null,229
243,Reggie Bush,BUF,10,38,RB,RB72,null,null,null,null,null,230
244,Rashad Greene,JAX,5,30,WR,WR101,null,null,null,null,null,231
245,Tyrell Williams,LAC,11,31,WR,WR102,null,null,null,null,null,232
246,Robert Turbin,IND,10,33,RB,RB73,null,null,null,null,null,233
247,Ronnie Hillman,DEN,11,31,RB,RB74,null,null,null,null,null,234
248,Charcandrick West,KC,5,31,RB,RB75,null,null,null,null,null,235
249,Alfred Blue,HOU,9,31,RB,RB76,null,null,null,null,null,236
250,Mike Gillislee,BUF,10,32,RB,RB77,null,null,null,null,null,237
251,Jeff Janis,GB,4,31,WR,WR103,null,null,null,null,null,238
252,Paul Perkins,NYG,8,28,RB,RB78,null,null,null,null,null,239
253,De'Anthony Thomas,KC,5,30,WR,WR104,null,null,null,null,null,240
254,Brian Quick,LAR,8,33,WR,WR105,null,null,null,null,null,241
255,Dontrelle Inman,LAC,11,34,WR,WR106,null,null,null,null,null,242
256,Sam Bradford,MIN,6,35,QB,QB28,null,null,null,null,null,243
257,Corey Brown,CAR,7,31,WR,WR107,null,null,null,null,null,244
258,Mike Tolbert,CAR,7,37,FB,RB79,null,null,null,null,null,245
259,Andre Johnson,TEN,13,41,WR,WR108,null,null,null,null,null,246
260,Josh Ferguson,IND,10,29,RB,RB80,null,null,null,null,null,247
261,Bennie Fowler,DEN,11,31,WR,WR109,null,null,null,null,null,248
262,Adam Humphries,TB,6,29,WR,WR110,null,null,null,null,null,249
263,Blaine Gabbert,SF,8,33,QB,QB29,523,523,523,523,523,250
264,Leonte Carroo,MIA,8,29,WR,WR111,null,null,null,null,null,251
265,Leonard Hankerson,BUF,10,34,WR,WR112,null,null,null,null,null,252
266,Ty Montgomery,GB,4,30,WR,WR113,290,290,290,290,290,253
267,Dwayne Harris,NYG,8,35,WR,WR114,null,null,null,null,null,254
268,Khiry Robinson,NYJ,11,33,RB,RB81,null,null,null,null,null,255
269,Paul Richardson,SEA,5,30,WR,WR115,null,null,null,null,null,256
270,Marcel Reece,LV,10,37,FB,RB82,null,null,null,null,null,257
271,Cody Latimer,DEN,11,30,WR,WR116,null,null,null,null,null,258
272,Zach Zenner,DET,10,31,RB,RB83,null,null,null,null,null,259
273,Tyler Ervin,HOU,9,29,RB,RB84,null,null,null,null,null,260
274,Jeremy Kerley,SF,8,34,WR,WR117,null,null,null,null,null,261
275,Roy Helu,LV,10,34,RB,RB85,null,null,null,null,null,262
276,Darren Waller,BAL,8,30,TE,TE20,50.2,50.2,50.2,50.2,50.2,263
277,Keith Marshall,WAS,9,29,RB,RB86,null,null,null,null,null,264
278,Nate Washington,NE,9,39,WR,WR118,null,null,null,null,null,265
279,Wendell Smallwood,PHI,4,29,RB,RB87,null,null,null,null,null,266
280,Jacquizz Rodgers,CHI,9,33,RB,RB88,null,null,null,null,null,267
281,Darrius Heyward-Bey,PIT,8,36,WR,WR119,null,null,null,null,null,268
282,Branden Oliver,LAC,11,31,RB,RB89,null,null,null,null,null,269
283,Josh Huff,PHI,4,31,WR,WR120,null,null,null,null,null,270
284,Marquise Goodwin,BUF,10,32,WR,WR121,304,304,304,304,304,271
285,TJ Jones,DET,10,30,WR,WR122,null,null,null,null,null,272
286,Andre Holmes,LV,10,34,WR,WR123,null,null,null,null,null,273
287,Kenyan Drake,MIA,8,29,RB,RB90,226,226,226,226,226,274
288,Dan Herron,BUF,10,33,RB,RB91,null,null,null,null,null,275
289,Dezmin Lewis,BUF,10,28,WR,WR124,null,null,null,null,null,276
290,Tre Mason,LAR,8,29,RB,RB92,null,null,null,null,null,277
291,Marquess Wilson,CHI,9,30,WR,WR125,null,null,null,null,null,278
292,Jerome Simpson,SF,8,37,WR,WR126,null,null,null,null,null,279
293,Jordan Norwood,DEN,11,36,WR,WR127,null,null,null,null,null,280
294,Brice Butler,DAL,7,33,WR,WR128,null,null,null,null,null,281
295,Justin Hunter,MIA,8,31,WR,WR129,null,null,null,null,null,282
296,Matt Asiata,MIN,6,35,RB,RB93,null,null,null,null,null,283
297,Harry Douglas,TEN,13,37,WR,WR130,null,null,null,null,null,284
298,Kenjon Barner,PHI,4,33,RB,RB94,null,null,null,null,null,285
299,DeAndrew White,SF,8,31,WR,WR131,null,null,null,null,null,286
300,Rashard Higgins,CLE,13,28,WR,WR132,236,236,236,236,236,287
301,Lance Dunbar,DAL,7,33,RB,RB95,null,null,null,null,null,288
302,Jordan Todman,IND,10,33,RB,RB96,null,null,null,null,null,289
303,Carson Wentz,PHI,4,30,QB,QB30,225,225,225,225,225,290
304,Andre Roberts,DET,10,35,WR,WR133,470,470,470,470,470,291
305,Rod Streater,SF,8,35,WR,WR134,null,null,null,null,null,292
306,Quan Bray,IND,10,29,WR,WR135,null,null,null,null,null,293
307,Charles Clay,BUF,10,34,TE,TE21,null,null,null,null,null,294
308,Taylor Gabriel,ATL,11,32,WR,WR136,null,null,null,null,null,295
309,Silas Redd,WAS,9,31,RB,RB97,null,null,null,null,null,296
310,Tony Romo,DAL,7,42,QB,QB31,null,null,null,null,null,297
311,Kyle Juszczyk,BAL,8,31,FB,RB98,252,252,252,252,252,298
312,Eric Ebron,DET,10,29,TE,TE22,null,null,null,null,null,299
313,Bishop Sankey,NE,9,30,RB,RB99,null,null,null,null,null,300
314,Cecil Shorts,TB,6,35,WR,WR137,null,null,null,null,null,301
315,Fozzy Whittaker,CAR,7,34,RB,RB100,null,null,null,null,null,302
316,Ryan Grant,WAS,9,32,WR,WR138,null,null,null,null,null,303
317,Devin Smith,NYJ,11,31,WR,WR139,null,null,null,null,null,304
318,Clive Walford,LV,10,31,TE,TE23,null,null,null,null,null,305
319,Kenbrell Thompkins,NYJ,11,34,WR,WR140,null,null,null,null,null,306
320,James Develin,NE,9,34,FB,RB101,null,null,null,null,null,307
321,Taiwan Jones,LV,10,34,RB,RB102,694,694,694,694,694,308
322,Virgil Green,DEN,11,34,TE,TE24,null,null,null,null,null,309
323,Jamize Olawale,LV,10,33,FB,RB103,null,null,null,null,null,310
324,Jacob Tamme,ATL,11,37,TE,TE25,null,null,null,null,null,311
325,Paxton Lynch,DEN,11,29,QB,QB32,null,null,null,null,null,312
326,Zach Line,MIN,6,32,FB,RB104,null,null,null,null,null,313
327,Jaron Brown,ARI,9,33,WR,WR141,null,null,null,null,null,314
328,Chris Moore,BAL,8,29,WR,WR142,237,237,237,237,237,315
329,Jared Abbrederis,GB,4,32,WR,WR143,null,null,null,null,null,316
330,Tyler Gaffney,NE,9,31,RB,RB105,null,null,null,null,null,317
331,Antonio Andrews,TEN,13,31,RB,RB106,null,null,null,null,null,318
332,Bruce Miller,SF,8,35,FB,RB107,null,null,null,null,null,319
333,Jared Goff,LAR,8,28,QB,QB33,227,227,227,227,227,320
334,Patrick DiMarco,ATL,11,33,FB,RB108,null,null,null,null,null,321
335,Kyle Rudolph,MIN,6,33,TE,TE26,386,386,386,386,386,322
336,Louis Murphy,TB,6,35,WR,WR144,null,null,null,null,null,323
337,Trevor Siemian,DEN,11,31,QB,QB34,537,537,537,537,537,324
338,Jeremy Butler,TB,6,31,WR,WR145,null,null,null,null,null,325
339,Andre Williams,LAC,11,30,RB,RB109,null,null,null,null,null,326
340,Richard Rodgers,GB,4,31,TE,TE27,741,741,741,741,741,327
341,Austin Seferian-Jenkins,TB,6,30,TE,TE28,null,null,null,null,null,328
342,Brandon Bolden,NE,9,33,RB,RB110,254,254,254,254,254,329
343,Josh Bellamy,CHI,9,33,WR,WR146,null,null,null,null,null,330
344,Greg Salas,BUF,10,34,WR,WR147,null,null,null,null,null,331
345,Michael Campanaro,BAL,8,32,WR,WR148,null,null,null,null,null,332
346,Denard Robinson,JAX,5,32,RB,RB111,null,null,null,null,null,333
347,Jack Doyle,IND,10,32,TE,TE29,null,null,null,null,null,334
348,Case Keenum,LAR,8,35,QB,QB35,514,514,514,514,514,335
349,Cordarrelle Patterson,MIN,6,31,RB,RB112,91.8,91.8,91.8,91.8,91.8,336
350,Vance McDonald,SF,8,32,TE,TE30,null,null,null,null,null,337
351,Colin Kaepernick,SF,8,35,QB,QB36,null,null,null,null,null,338
