Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
79,Tyler Boyd,CIN,9,28,WR,WR33,121.3,121.3,121.3,121.3,121.3,78.5
80,Antonio Gibson,WAS,8,24,RB,RB34,114.9,114.9,114.9,114.9,114.9,79
81,Hayden Hurst,ATL,10,29,TE,TE8,329,329,329,329,329,79.4
82,Jordan Howard,MIA,7,28,RB,RB35,null,null,null,null,null,80
83,Drew Brees,NO,6,44,QB,QB7,null,null,null,null,null,80.1
84,Brandin Cooks,HOU,8,29,WR,WR34,57.9,57.9,57.9,57.9,57.9,81.5
85,Zack Moss,BUF,11,25,RB,RB36,257,257,257,257,257,83.7
86,Phillip Lindsay,DEN,5,28,RB,RB37,240,240,240,240,240,83.8
87,Tarik Cohen,CHI,11,27,RB,RB38,null,null,null,null,null,84.6
88,Matt Ryan,ATL,10,37,QB,QB8,132,132,132,132,132,84.8
89,Jarvis Landry,CLE,9,30,WR,WR35,165,165,165,165,165,85.5
90,Tom Brady,TB,13,45,QB,QB9,86.7,86.7,86.7,86.7,86.7,88
91,Deebo Samuel,SF,11,27,WR,WR36,19.6,19.6,19.6,19.6,19.6,89.1
92,Diontae Johnson,PIT,4,26,WR,WR37,43.5,43.5,43.5,43.5,43.5,89.4
93,Tyler Higbee,LAR,9,30,TE,TE9,305,305,305,305,305,89.7
94,Matt Breida,MIA,7,28,RB,RB39,234,234,234,234,234,90.5
95,CeeDee Lamb,DAL,10,23,WR,WR38,17.9,17.9,17.9,17.9,17.9,93.2
96,Aaron Rodgers,GB,5,39,QB,QB10,77.9,77.9,77.9,77.9,77.9,94.3
97,Latavius Murray,NO,6,33,RB,RB40,null,null,null,null,null,94.9
98,Marvin Jones Jr.,DET,5,33,WR,WR39,162,162,162,162,162,95.1
99,Tevin Coleman,SF,11,29,RB,RB41,665,665,665,665,665,96.4
100,Alexander Mattison,MIN,7,24,RB,RB42,128.9,128.9,128.9,128.9,128.9,96.7
101,Kerryon Johnson,DET,5,25,RB,RB43,null,null,null,null,null,97.2
102,Hunter Henry,LAC,6,28,TE,TE10,136.1,136.1,136.1,136.1,136.1,98
103,Emmanuel Sanders,NO,6,35,WR,WR40,null,null,null,null,null,100
104,Damien Harris,NE,5,26,RB,RB44,59.4,59.4,59.4,59.4,59.4,101.1
104,Chase Edmonds,ARI,8,26,RB,RB45,70.1,70.1,70.1,70.1,70.1,101.1
106,Josh Allen,BUF,11,26,QB,QB11,19.1,19.1,19.1,19.1,19.1,101.5
107,Jamison Crowder,NYJ,10,29,WR,WR41,190,190,190,190,190,102.6
108,Henry Ruggs III,LV,6,24,WR,WR42,null,null,null,null,null,104.5
109,Mecole Hardman,KC,10,25,WR,WR43,168,168,168,168,168,106.1
110,San Francisco 49ers,SF,11,null,DST,DST1,140.9,140.9,140.9,140.9,140.9,106.3
111,Sony Michel,NE,5,28,RB,RB46,230,230,230,230,230,107.4
112,Carson Wentz,PHI,9,30,QB,QB12,225,225,225,225,225,107.9
113,Jalen Reagor,PHI,9,24,WR,WR44,303,303,303,303,303,109.5
114,Matthew Stafford,DET,5,35,QB,QB13,91.7,91.7,91.7,91.7,91.7,111.3
115,AJ Dillon,GB,5,24,RB,RB47,48.4,48.4,48.4,48.4,48.4,111.9
116,Jerry Jeudy,DEN,5,23,WR,WR45,61.2,61.2,61.2,61.2,61.2,112.3
117,Darius Slayton,NYG,11,26,WR,WR46,223,223,223,223,223,113.2
118,Darrell Henderson Jr.,LAR,9,25,RB,RB48,113.6,113.6,113.6,113.6,113.6,114.1
119,Jared Cook,NO,6,35,TE,TE11,null,null,null,null,null,115.2
120,Christian Kirk,ARI,8,26,WR,WR47,96.2,96.2,96.2,96.2,96.2,116.9
121,Adrian Peterson,DET,5,37,RB,RB49,null,null,null,null,null,118.4
122,Sterling Shepard,NYG,11,30,WR,WR48,172,172,172,172,172,118.9
123,Baltimore Ravens,BAL,7,null,DST,DST2,158.5,158.5,158.5,158.5,158.5,119.3
124,Tony Pollard,DAL,10,25,RB,RB50,69.9,69.9,69.9,69.9,69.9,119.4
125,Pittsburgh Steelers,PIT,4,null,DST,DST3,147,147,147,147,147,119.6
125,Noah Fant,DEN,5,25,TE,TE12,307,307,307,307,307,119.6
127,Boston Scott,PHI,9,27,RB,RB51,216,216,216,216,216,120.1
128,Cam Newton,NE,5,33,QB,QB14,null,null,null,null,null,120.7
129,Justin Jefferson,MIN,7,23,WR,WR49,4.9,4.9,4.9,4.9,4.9,121.5
130,Daniel Jones,NYG,11,25,QB,QB15,220,220,220,220,220,125.4
131,Buffalo Bills,BUF,11,null,DST,DST4,117.3,117.3,117.3,117.3,117.3,126.3
132,Bryce Love,WAS,8,25,RB,RB52,null,null,null,null,null,126.8
133,Anthony Miller,CHI,11,28,WR,WR50,null,null,null,null,null,126.9
134,DeSean Jackson,PHI,9,36,WR,WR51,null,null,null,null,null,127.1
135,Ben Roethlisberger,PIT,4,41,QB,QB16,null,null,null,null,null,129.5
136,Preston Williams,MIA,7,25,WR,WR52,284,284,284,284,284,130.9
137,Allen Lazard,GB,5,27,WR,WR53,90.7,90.7,90.7,90.7,90.7,131
137,Duke Johnson,HOU,8,29,RB,RB53,296,296,296,296,296,131
139,Ke'Shawn Vaughn,TB,13,25,RB,RB54,264,264,264,264,264,134.4
140,Ryquell Armstead,JAX,8,26,RB,RB55,777,777,777,777,777,135.3
141,Joe Burrow,CIN,9,26,QB,QB17,46.8,46.8,46.8,46.8,46.8,135.7
142,Brandon Aiyuk,SF,11,24,WR,WR54,90.2,90.2,90.2,90.2,90.2,135.9
143,Chicago Bears,CHI,11,null,DST,DST5,159.4,159.4,159.4,159.4,159.4,136.7
143,Austin Hooper,CLE,9,28,TE,TE13,316,316,316,316,316,136.7
145,Justin Jackson,LAC,6,26,RB,RB56,274,274,274,274,274,137.6
146,Nyheim Hines,IND,7,26,RB,RB57,94.4,94.4,94.4,94.4,94.4,139.9
147,New England Patriots,NE,5,null,DST,DST6,164.6,164.6,164.6,164.6,164.6,140.2
148,Sammy Watkins,KC,10,29,WR,WR55,195,195,195,195,195,140.5
149,T.J. Hockenson,DET,5,25,TE,TE14,119.6,119.6,119.6,119.6,119.6,143.1
150,Justin Tucker,BAL,7,33,K,K1,135.9,135.9,135.9,135.9,135.9,144.5
151,Baker Mayfield,CLE,9,27,QB,QB18,232,232,232,232,232,144.7
152,Golden Tate,NYG,11,34,WR,WR56,null,null,null,null,null,145.3
153,Mike Gesicki,MIA,7,27,TE,TE15,113.1,113.1,113.1,113.1,113.1,146.5
154,Jared Goff,LAR,9,28,QB,QB19,227,227,227,227,227,147.2
155,Harrison Butker,KC,10,27,K,K2,140.1,140.1,140.1,140.1,140.1,147.5
155,Los Angeles Chargers,LAC,6,null,DST,DST7,145.7,145.7,145.7,145.7,145.7,147.5
157,John Brown,BUF,11,32,WR,WR57,700,700,700,700,700,149.1
158,Chris Thompson,JAX,8,32,RB,RB58,null,null,null,null,null,149.6
159,Michael Pittman Jr.,IND,7,25,WR,WR58,24.7,24.7,24.7,24.7,24.7,151.7
160,Darrel Williams,KC,10,27,RB,RB59,208,208,208,208,208,152.3
160,Jerick McKinnon,SF,11,30,RB,RB60,210,210,210,210,210,152.3
162,Benny Snell Jr.,PIT,4,25,RB,RB61,291,291,291,291,291,152.9
163,Breshad Perriman,NYJ,10,29,WR,WR59,313,313,313,313,313,153
164,Jonnu Smith,TEN,4,27,TE,TE16,382,382,382,382,382,153.6
165,Jack Doyle,IND,7,32,TE,TE17,null,null,null,null,null,153.7
166,Chris Herndon,NYJ,10,27,TE,TE18,1960,1960,1960,1960,1960,153.9
167,Tampa Bay Buccaneers,TB,13,null,DST,DST8,138.9,138.9,138.9,138.9,138.9,154.2
168,Blake Jarwin,DAL,10,28,TE,TE19,null,null,null,null,null,154.4
169,Joshua Kelley,LAC,6,25,RB,RB62,280,280,280,280,280,154.5
170,Wil Lutz,NO,6,28,K,K3,467,467,467,467,467,155.7
171,LeSean McCoy,TB,13,34,RB,RB63,null,null,null,null,null,156
172,Greg Zuerlein,DAL,10,35,K,K4,482,482,482,482,482,156.1
173,Ryan Tannehill,TEN,4,34,QB,QB20,215,215,215,215,215,156.4
174,Carlos Hyde,SEA,6,32,RB,RB64,null,null,null,null,null,156.5
175,Jimmy Garoppolo,SF,11,31,QB,QB21,435,435,435,435,435,157.2
176,Parris Campbell,IND,7,25,WR,WR60,182,182,182,182,182,158.4
177,N'Keal Harry,NE,5,25,WR,WR61,null,null,null,null,null,159
178,Gardner Minshew,JAX,8,26,QB,QB22,508,508,508,508,508,159.2
179,Philip Rivers,IND,7,41,QB,QB23,null,null,null,null,null,159.6
180,Seattle Seahawks,SEA,6,null,DST,DST9,178,178,178,178,178,160.3
181,Dallas Cowboys,DAL,10,null,DST,DST10,161,161,161,161,161,161
182,DeAndre Washington,KC,10,30,RB,RB65,null,null,null,null,null,161.4
183,Mike Williams,LAC,6,28,WR,WR62,39.7,39.7,39.7,39.7,39.7,161.9
184,Robbie Gould,SF,11,40,K,K5,462,462,462,462,462,162.3
185,Drew Lock,DEN,5,26,QB,QB24,394,394,394,394,394,162.4
186,Larry Fitzgerald,ARI,8,39,WR,WR63,null,null,null,null,null,162.8
187,Miami Dolphins,MIA,7,null,DST,DST11,158.9,158.9,158.9,158.9,158.9,163
188,Minnesota Vikings,MIN,7,null,DST,DST12,156.7,156.7,156.7,156.7,156.7,163.1
189,New Orleans Saints,NO,6,null,DST,DST13,156.8,156.8,156.8,156.8,156.8,163.6
190,Curtis Samuel,CAR,13,26,WR,WR64,178,178,178,178,178,163.9
190,Chosen Anderson,CAR,13,29,WR,WR65,166,166,166,166,166,163.9
192,Bryan Edwards,LV,6,24,WR,WR66,187,187,187,187,187,164.2
193,Denver Broncos,DEN,5,null,DST,DST14,161.5,161.5,161.5,161.5,161.5,166
193,Matt Gay,TB,13,28,K,K6,158.8,158.8,158.8,158.8,158.8,166
195,Kansas City Chiefs,KC,10,null,DST,DST15,151.3,151.3,151.3,151.3,151.3,167.1
196,Tennessee Titans,TEN,4,null,DST,DST16,164.6,164.6,164.6,164.6,164.6,167.2
197,Green Bay Packers,GB,5,null,DST,DST17,143.8,143.8,143.8,143.8,143.8,167.5
198,Cincinnati Bengals,CIN,9,null,DST,DST18,165.2,165.2,165.2,165.2,165.2,167.6
199,Zane Gonzalez,ARI,8,27,K,K7,null,null,null,null,null,167.8
200,Matt Prater,DET,5,38,K,K8,452,452,452,452,452,167.9
201,Los Angeles Rams,LAR,9,null,DST,DST19,129.8,129.8,129.8,129.8,129.8,168.1
202,Cleveland Browns,CLE,9,null,DST,DST20,169.5,169.5,169.5,169.5,169.5,168.7
203,Younghoe Koo,ATL,10,28,K,K9,152.1,152.1,152.1,152.1,152.1,168.8
204,Philadelphia Eagles,PHI,9,null,DST,DST21,160.7,160.7,160.7,160.7,160.7,169.1
205,Jacksonville Jaguars,JAX,8,null,DST,DST22,192,192,192,192,192,169.5
206,Houston Texans,HOU,8,null,DST,DST23,193,193,193,193,193,170.2
207,Indianapolis Colts,IND,7,null,DST,DST24,148.4,148.4,148.4,148.4,148.4,170.3
208,Chris Boswell,PIT,4,31,K,K10,471,471,471,471,471,170.4
209,Carolina Panthers,CAR,13,null,DST,DST25,163.5,163.5,163.5,163.5,163.5,170.8
210,Ka'imi Fairbairn,HOU,8,29,K,K11,492,492,492,492,492,172.5
211,Jake Elliott,PHI,9,28,K,K12,455,455,455,455,455,173.1
212,Brandon McManus,DEN,5,31,K,K13,155.6,155.6,155.6,155.6,155.6,173.8
213,Dan Bailey,MIN,7,35,K,K14,null,null,null,null,null,173.9
214,Dede Westbrook,JAX,8,29,WR,WR67,null,null,null,null,null,175
215,Washington Commanders,WAS,8,null,DST,DST26,160.5,160.5,160.5,160.5,160.5,175.2
216,Hunter Renfrow,LV,6,27,WR,WR68,71.4,71.4,71.4,71.4,71.4,176
217,Cole Beasley,BUF,11,33,WR,WR69,null,null,null,null,null,177
218,Tyrell Williams,LV,6,31,WR,WR70,null,null,null,null,null,178
219,James Washington,PIT,4,26,WR,WR71,null,null,null,null,null,179
220,Randall Cobb,HOU,8,32,WR,WR72,185,185,185,185,185,180
221,Danny Amendola,DET,5,37,WR,WR73,null,null,null,null,null,181
222,Corey Davis,TEN,4,28,WR,WR74,171,171,171,171,171,182
223,Chris Conley,JAX,8,30,WR,WR75,217,217,217,217,217,183
224,Josh Reynolds,LAR,9,28,WR,WR76,244,244,244,244,244,184
225,Denzel Mims,NYJ,10,25,WR,WR77,322,322,322,322,322,185
226,Steven Sims,WAS,8,25,WR,WR78,496,496,496,496,496,186
227,Darrynton Evans,TEN,4,24,RB,RB66,371,371,371,371,371,187
228,Russell Gage,ATL,10,27,WR,WR79,155.7,155.7,155.7,155.7,155.7,188
229,Jalen Richard,LV,6,29,RB,RB67,null,null,null,null,null,189
230,Adam Humphries,TEN,4,29,WR,WR80,null,null,null,null,null,190
231,Marquez Valdes-Scantling,GB,5,28,WR,WR81,130.2,130.2,130.2,130.2,130.2,191
232,Alshon Jeffery,PHI,9,33,WR,WR82,null,null,null,null,null,192
233,Jamaal Williams,GB,5,27,RB,RB68,120.5,120.5,120.5,120.5,120.5,193
234,Trent Taylor,SF,11,28,WR,WR83,398,398,398,398,398,194
235,Devine Ozigbo,JAX,8,26,RB,RB69,686,686,686,686,686,195
236,Tee Higgins,CIN,9,24,WR,WR84,32.4,32.4,32.4,32.4,32.4,196
237,Phillip Dorsett,SEA,6,30,WR,WR85,212,212,212,212,212,197
238,KJ Hamler,DEN,5,23,WR,WR86,175,175,175,175,175,198
239,Miles Boykin,BAL,7,26,WR,WR87,369,369,369,369,369,199
240,Jakeem Grant Sr.,MIA,7,30,WR,WR88,null,null,null,null,null,200
241,Frank Gore,NYJ,10,39,RB,RB70,null,null,null,null,null,201
242,John Ross,CIN,9,27,WR,WR89,null,null,null,null,null,202
243,Giovani Bernard,CIN,9,31,RB,RB71,288,288,288,288,288,203
244,Ted Ginn Jr.,CHI,11,37,WR,WR90,null,null,null,null,null,204
245,Damiere Byrd,NE,5,30,WR,WR91,328,328,328,328,328,205
246,Dontrelle Inman,WAS,8,34,WR,WR92,null,null,null,null,null,206
247,Antonio Gandy-Golden,WAS,8,24,TE,TE20,712,712,712,712,712,207
248,Rex Burkhead,NE,5,32,RB,RB72,193,193,193,193,193,208
249,Kirk Cousins,MIN,7,34,QB,QB25,107.8,107.8,107.8,107.8,107.8,209
250,Willie Snead IV,BAL,7,30,WR,WR93,701,701,701,701,701,210
251,Derek Carr,LV,6,31,QB,QB26,102.6,102.6,102.6,102.6,102.6,211
252,Kendrick Bourne,SF,11,27,WR,WR94,184,184,184,184,184,212
253,Tre'Quan Smith,NO,6,27,WR,WR95,317,317,317,317,317,213
254,Josh Gordon,SEA,6,31,WR,WR96,415,415,415,415,415,214
255,Sam Darnold,NYJ,10,25,QB,QB27,null,null,null,null,null,215
256,Laviska Shenault Jr.,JAX,8,24,WR,WR97,198,198,198,198,198,216
257,Chase Claypool,PIT,4,24,WR,WR98,131.2,131.2,131.2,131.2,131.2,217
258,Equanimeous St. Brown,GB,5,26,WR,WR99,261,261,261,261,261,218
259,Teddy Bridgewater,CAR,13,30,QB,QB28,513,513,513,513,513,219
260,Ito Smith,ATL,10,27,RB,RB73,null,null,null,null,null,220
261,Peyton Barber,WAS,8,29,RB,RB74,null,null,null,null,null,221
262,Greg Ward,PHI,9,27,WR,WR100,null,null,null,null,null,222
263,Anthony McFarland Jr.,PIT,4,25,RB,RB75,344,344,344,344,344,223
264,John Hightower,PHI,9,26,WR,WR101,703,703,703,703,703,224
265,Kalif Raymond,TEN,4,28,WR,WR102,260,260,260,260,260,225
266,Malcolm Brown,LAR,9,29,RB,RB76,1948,1948,1948,1948,1948,226
267,Tim Patrick,DEN,5,29,WR,WR103,null,null,null,null,null,227
268,Isaiah Coulter,HOU,8,24,WR,WR104,459,459,459,459,459,228
269,Tua Tagovailoa,MIA,7,25,QB,QB29,121.2,121.2,121.2,121.2,121.2,229
270,Scotty Miller,TB,13,25,WR,WR105,360,360,360,360,360,230
271,Tyrod Taylor,LAC,6,33,QB,QB30,468,468,468,468,468,231
272,Kenny Stills,HOU,8,30,WR,WR106,null,null,null,null,null,232
273,La'Mical Perine,NYJ,10,25,RB,RB77,667,667,667,667,667,233
274,Keelan Cole,JAX,8,29,WR,WR107,838,838,838,838,838,234
275,J.D. McKissic,WAS,8,29,RB,RB78,108.6,108.6,108.6,108.6,108.6,235
276,James Robinson,JAX,8,24,RB,RB79,98.5,98.5,98.5,98.5,98.5,236
277,Rashard Higgins,CLE,9,28,WR,WR108,236,236,236,236,236,237
278,Kyle Juszczyk,SF,11,31,FB,RB80,252,252,252,252,252,238
279,Mike Thomas,CIN,9,28,WR,WR109,381,381,381,381,381,239
280,Mike Davis,CAR,13,30,RB,RB81,241,241,241,241,241,240
281,Chris Rowland,ATL,10,25,WR,WR110,720,720,720,720,720,241
282,Dion Lewis,NYG,11,32,RB,RB82,null,null,null,null,null,242
283,Gunner Olszewski,NE,5,26,WR,WR111,535,535,535,535,535,243
284,Dwayne Haskins,WAS,8,25,QB,QB31,647,647,647,647,647,244
285,Ty Montgomery,NO,6,30,WR,WR112,290,290,290,290,290,245
286,Demarcus Robinson,KC,10,28,WR,WR113,253,253,253,253,253,246
287,Royce Freeman,DEN,5,27,RB,RB83,325,325,325,325,325,247
288,Darnell Mooney,CHI,11,25,WR,WR114,68.1,68.1,68.1,68.1,68.1,248
289,Chris Hogan,NYJ,10,35,WR,WR115,null,null,null,null,null,249
290,Jalen Guyton,LAC,6,25,WR,WR116,218,218,218,218,218,250
291,David Moore,SEA,6,28,WR,WR117,null,null,null,null,null,251
292,Gus Edwards,BAL,7,27,RB,RB84,229,229,229,229,229,252
293,Eno Benjamin,ARI,8,23,RB,RB85,224,224,224,224,224,253
294,Nick Foles,CHI,11,34,QB,QB32,565,565,565,565,565,254
295,Emanuel Hall,WAS,8,25,WR,WR118,null,null,null,null,null,255
296,Jake Kumerow,BUF,11,31,WR,WR119,473,473,473,473,473,256
297,Brian Hill,ATL,10,27,RB,RB86,697,697,697,697,697,257
298,Seth Roberts,CAR,13,32,WR,WR120,null,null,null,null,null,258
299,Keke Coutee,HOU,8,26,WR,WR121,282,282,282,282,282,259
300,Darwin Thompson,KC,10,26,RB,RB87,385,385,385,385,385,260
301,DeeJay Dallas,SEA,6,24,RB,RB88,321,321,321,321,321,261
302,Bisi Johnson,MIN,7,25,WR,WR122,null,null,null,null,null,262
303,Patrick Laird,MIA,7,27,RB,RB89,693,693,693,693,693,263
304,Quez Watkins,PHI,9,24,WR,WR123,200,200,200,200,200,264
305,Rashaad Penny,SEA,6,27,RB,RB90,63,63,63,63,63,265
306,J.J. Arcega-Whiteside,PHI,9,26,WR,WR124,555,555,555,555,555,266
307,Tajae Sharpe,MIN,7,28,WR,WR125,null,null,null,null,null,267
308,Jaylen Samuels,PIT,4,26,RB,RB91,669,669,669,669,669,268
309,Reggie Bonnafon,CAR,13,27,RB,RB92,683,683,683,683,683,269
310,Dallas Goedert,PHI,9,28,TE,TE21,75.3,75.3,75.3,75.3,75.3,270
311,Damion Ratley,NYG,11,27,WR,WR126,null,null,null,null,null,271
312,DaeSean Hamilton,DEN,5,28,WR,WR127,814,814,814,814,814,272
313,Jason Huntley,PHI,9,24,RB,RB93,690,690,690,690,690,273
314,Javon Wims,CHI,11,28,WR,WR128,820,820,820,820,820,274
315,Devin Duvernay,BAL,7,25,WR,WR129,186,186,186,186,186,275
316,Cedrick Wilson Jr.,DAL,10,27,WR,WR130,180,180,180,180,180,276
317,Jakobi Meyers,NE,5,26,WR,WR131,149.4,149.4,149.4,149.4,149.4,277
318,Van Jefferson,LAR,9,26,WR,WR132,174,174,174,174,174,278
319,Lynn Bowden Jr.,MIA,7,25,WR,WR133,319,319,319,319,319,279
320,Trey Quinn,JAX,8,27,WR,WR134,1958,1958,1958,1958,1958,280
321,Mike Boone,MIN,7,27,RB,RB94,364,364,364,364,364,281
322,Olamide Zaccheaus,ATL,10,25,WR,WR135,201,201,201,201,201,282
323,Justice Hill,BAL,7,25,RB,RB95,332,332,332,332,332,283
324,Marvin Hall,DET,5,29,WR,WR136,855,855,855,855,855,284
325,Rod Smith,NYG,11,31,RB,RB96,null,null,null,null,null,285
326,Ty Johnson,DET,5,25,RB,RB97,308,308,308,308,308,286
